movie_id,genre
19995,Science Fiction
19995,Adventure
19995,Fantasy
19995,Action
285,Adventure
285,Fantasy
285,Action
206647,Adventure
206647,Action
206647,Crime
49026,Thriller
49026,Action
49026,Crime
49026,Drama
49529,Science Fiction
49529,Adventure
49529,Action
559,Adventure
559,Fantasy
559,Action
38757,Animation
38757,Family
99861,Science Fiction
99861,Adventure
99861,Action
767,Adventure
767,Fantasy
767,Family
209112,Adventure
209112,Fantasy
209112,Action
1452,Science Fiction
1452,Adventure
1452,Fantasy
1452,Action
10764,Adventure
10764,Thriller
10764,Action
10764,Crime
58,Adventure
58,Fantasy
58,Action
57201,Adventure
57201,Western
57201,Action
49521,Science Fiction
49521,Adventure
49521,Fantasy
49521,Action
2454,Adventure
2454,Fantasy
2454,Family
24428,Science Fiction
24428,Adventure
24428,Action
1865,Adventure
1865,Fantasy
1865,Action
41154,Science Fiction
41154,Action
41154,Comedy
122917,Adventure
122917,Fantasy
122917,Action
1930,Adventure
1930,Fantasy
1930,Action
20662,Adventure
20662,Action
57158,Adventure
57158,Fantasy
2268,Adventure
2268,Fantasy
254,Adventure
254,Action
254,Drama
597,Thriller
597,Romance
597,Drama
271110,Science Fiction
271110,Adventure
271110,Action
44833,Science Fiction
44833,Adventure
44833,Thriller
44833,Action
135397,Science Fiction
135397,Adventure
135397,Thriller
135397,Action
37724,Adventure
37724,Thriller
37724,Action
558,Adventure
558,Fantasy
558,Action
68721,Science Fiction
68721,Adventure
68721,Action
12155,Adventure
12155,Fantasy
12155,Family
36668,Science Fiction
36668,Adventure
36668,Thriller
36668,Action
62211,Animation
62211,Family
8373,Science Fiction
8373,Adventure
8373,Action
91314,Science Fiction
91314,Adventure
91314,Action
68728,Adventure
68728,Fantasy
68728,Family
102382,Adventure
102382,Fantasy
102382,Action
20526,Science Fiction
20526,Adventure
20526,Action
49013,Adventure
49013,Animation
49013,Comedy
49013,Family
44912,Science Fiction
44912,Adventure
44912,Thriller
44912,Action
10193,Animation
10193,Comedy
10193,Family
534,Science Fiction
534,Thriller
534,Action
168259,Action
72190,Science Fiction
72190,Thriller
72190,Action
72190,Horror
72190,Drama
127585,Science Fiction
127585,Adventure
127585,Fantasy
127585,Action
54138,Science Fiction
54138,Adventure
54138,Action
81005,Fantasy
81005,Action
81005,Family
64682,Romance
64682,Drama
9543,Adventure
9543,Fantasy
9543,Romance
9543,Action
68726,Science Fiction
68726,Adventure
68726,Action
38356,Science Fiction
38356,Adventure
38356,Action
217,Adventure
217,Action
105864,Adventure
105864,Animation
105864,Family
62177,Adventure
62177,Animation
62177,Action
62177,Comedy
62177,Family
188927,Science Fiction
188927,Adventure
188927,Action
10681,Animation
10681,Family
5174,Thriller
5174,Action
5174,Comedy
5174,Crime
14161,Science Fiction
14161,Adventure
14161,Action
17979,Animation
17979,Drama
76757,Science Fiction
76757,Adventure
76757,Fantasy
76757,Action
258489,Adventure
258489,Action
411,Adventure
411,Fantasy
411,Family
246655,Science Fiction
155,Thriller
155,Action
155,Crime
155,Drama
14160,Adventure
14160,Animation
14160,Comedy
14160,Family
15512,Science Fiction
15512,Adventure
15512,Animation
15512,Family
1726,Science Fiction
1726,Adventure
1726,Action
44826,Adventure
44826,Family
44826,Drama
8487,Science Fiction
8487,Adventure
8487,Western
8487,Action
8487,Comedy
1735,Adventure
1735,Fantasy
1735,Action
297761,Science Fiction
297761,Adventure
297761,Fantasy
297761,Action
297761,Crime
2698,Fantasy
2698,Comedy
2698,Family
137113,Science Fiction
137113,Action
9804,Adventure
9804,Action
14869,Science Fiction
14869,Adventure
14869,Thriller
14869,Action
150540,Animation
150540,Comedy
150540,Family
150540,Drama
278927,Adventure
278927,Fantasy
278927,Family
278927,Drama
10138,Science Fiction
10138,Adventure
10138,Action
58595,Adventure
58595,Fantasy
58595,Drama
102651,Adventure
102651,Fantasy
102651,Romance
102651,Action
102651,Family
119450,Science Fiction
119450,Thriller
119450,Action
119450,Drama
79698,Science Fiction
79698,Adventure
79698,Romance
79698,Action
64686,Adventure
64686,Fantasy
64686,Action
64686,Drama
100402,Science Fiction
100402,Adventure
100402,Action
10192,Adventure
10192,Animation
10192,Fantasy
10192,Comedy
10192,Family
158852,Science Fiction
158852,Adventure
158852,Mystery
158852,Family
177572,Adventure
177572,Animation
177572,Action
177572,Comedy
177572,Family
82690,Adventure
82690,Animation
82690,Comedy
82690,Family
5255,Adventure
5255,Animation
5255,Fantasy
5255,Family
47933,Science Fiction
47933,Adventure
47933,Action
10191,Adventure
10191,Animation
10191,Fantasy
10191,Family
296,Science Fiction
296,Thriller
296,Action
118340,Science Fiction
118340,Adventure
118340,Action
157336,Science Fiction
157336,Adventure
157336,Drama
27205,Science Fiction
27205,Adventure
27205,Thriller
27205,Mystery
27205,Action
315011,Science Fiction
315011,Adventure
315011,Action
315011,Horror
315011,Drama
49051,Adventure
49051,Fantasy
49051,Action
9799,Thriller
9799,Action
9799,Crime
4922,Thriller
4922,Fantasy
4922,Mystery
4922,Romance
4922,Drama
49538,Science Fiction
49538,Adventure
49538,Action
131634,Science Fiction
131634,Adventure
131634,Action
27022,Adventure
27022,Fantasy
27022,Action
27022,Comedy
27022,Drama
503,Adventure
503,Thriller
503,Action
503,Drama
241259,Fantasy
810,Adventure
810,Animation
810,Fantasy
810,Comedy
810,Family
68735,Adventure
68735,Fantasy
68735,Action
87101,Science Fiction
87101,Adventure
87101,Thriller
87101,Action
10140,Adventure
10140,Fantasy
10140,Family
676,History
676,Romance
676,War
1858,Science Fiction
1858,Adventure
1858,Action
1966,Adventure
1966,History
1966,Action
1966,Drama
1966,War
675,Adventure
675,Fantasy
675,Mystery
675,Family
674,Adventure
674,Fantasy
674,Family
8960,Fantasy
8960,Action
6479,Science Fiction
6479,Thriller
6479,Action
6479,Horror
6479,Drama
118,Adventure
118,Fantasy
118,Comedy
118,Family
2062,Animation
2062,Fantasy
2062,Comedy
2062,Family
272,Action
272,Crime
272,Drama
10527,Animation
10527,Family
18360,Adventure
18360,Fantasy
18360,Action
18360,Comedy
18360,Family
2080,Science Fiction
2080,Adventure
2080,Thriller
2080,Action
605,Science Fiction
605,Adventure
605,Thriller
605,Action
109445,Adventure
109445,Animation
109445,Family
604,Science Fiction
604,Adventure
604,Thriller
604,Action
76338,Adventure
76338,Fantasy
76338,Action
76341,Science Fiction
76341,Adventure
76341,Thriller
76341,Action
13448,Thriller
13448,Mystery
10195,Adventure
10195,Fantasy
10195,Action
13053,Adventure
13053,Animation
13053,Comedy
13053,Family
19585,Adventure
19585,Fantasy
19585,Action
19585,Comedy
19585,Family
57165,Adventure
62213,Fantasy
62213,Comedy
177677,Adventure
177677,Thriller
177677,Action
7978,Thriller
7978,Horror
7978,Drama
5559,Adventure
5559,Animation
5559,Comedy
5559,Family
49444,Animation
49444,Family
10196,Adventure
10196,Fantasy
10196,Action
10196,Family
956,Adventure
956,Thriller
956,Action
117251,Thriller
117251,Action
117251,Drama
50321,Adventure
50321,Animation
50321,Family
11619,Adventure
11619,Animation
11619,Comedy
11619,Family
266647,Adventure
266647,Fantasy
266647,Family
82703,Adventure
82703,Animation
82703,Family
652,Adventure
652,Drama
652,War
80321,Animation
80321,Family
36669,Adventure
36669,Thriller
36669,Action
43074,Fantasy
43074,Action
43074,Comedy
95,Science Fiction
95,Adventure
95,Thriller
95,Action
608,Science Fiction
608,Adventure
608,Action
608,Comedy
2310,Adventure
2310,Animation
2310,Action
140300,Adventure
140300,Animation
140300,Action
140300,Comedy
140300,Family
56292,Adventure
56292,Thriller
56292,Action
81188,Animation
81188,Fantasy
81188,Family
7552,Comedy
616,History
616,Action
616,Drama
616,War
147441,Adventure
147441,Action
147441,Drama
13475,Science Fiction
13475,Adventure
13475,Action
557,Fantasy
557,Action
82702,Adventure
82702,Animation
82702,Fantasy
82702,Action
82702,Comedy
205584,Fantasy
10048,Action
13183,Science Fiction
13183,Mystery
13183,Action
944,Adventure
944,Thriller
944,Action
944,Comedy
944,Crime
1927,Science Fiction
1927,Action
1927,Drama
72559,Science Fiction
72559,Adventure
72559,Thriller
72559,Action
7364,Adventure
7364,Mystery
7364,Action
7364,Comedy
7364,Drama
2114,Science Fiction
2114,Adventure
2114,Animation
2114,Fantasy
2114,Action
1771,Science Fiction
1771,Adventure
1771,Action
36643,Adventure
36643,Thriller
36643,Action
8619,Adventure
50620,Adventure
50620,Fantasy
50620,Romance
50620,Drama
65759,Animation
65759,Comedy
65759,Family
1724,Science Fiction
1724,Adventure
1724,Action
267935,Adventure
267935,Fantasy
267935,Family
281957,Adventure
281957,Thriller
281957,Western
281957,Drama
77950,Animation
77950,Family
44896,Adventure
44896,Animation
44896,Western
44896,Comedy
44896,Family
270946,Adventure
270946,Animation
270946,Comedy
270946,Family
2503,Thriller
2503,Mystery
2503,Action
2503,Drama
9502,Adventure
9502,Animation
9502,Comedy
9502,Family
102899,Science Fiction
102899,Adventure
102899,Action
101299,Science Fiction
101299,Adventure
101299,Action
228161,Science Fiction
228161,Animation
228161,Fantasy
228161,Comedy
228161,Family
74,Science Fiction
74,Adventure
74,Thriller
8961,Adventure
8961,Thriller
8961,Action
8961,Comedy
8961,Crime
417859,Adventure
417859,Animation
417859,Fantasy
417859,Action
417859,Family
27576,Thriller
27576,Mystery
27576,Action
86834,Adventure
86834,Drama
17578,Adventure
17578,Animation
17578,Mystery
673,Adventure
673,Fantasy
673,Family
6972,Drama
82700,Science Fiction
82700,Adventure
82700,Action
10567,Animation
10567,Family
181533,Adventure
181533,Fantasy
181533,Comedy
181533,Family
38055,Science Fiction
38055,Animation
38055,Action
38055,Comedy
38055,Family
671,Adventure
671,Fantasy
671,Family
49524,Fantasy
49524,Action
49524,Comedy
49524,Crime
22,Adventure
22,Fantasy
22,Action
131631,Science Fiction
131631,Adventure
131631,Thriller
591,Thriller
591,Mystery
172385,Adventure
172385,Animation
172385,Comedy
172385,Family
36658,Science Fiction
36658,Adventure
36658,Thriller
36658,Action
51497,Thriller
51497,Action
51497,Crime
58574,Adventure
58574,Mystery
58574,Action
58574,Crime
18823,Adventure
18823,Fantasy
18823,Action
861,Science Fiction
861,Adventure
861,Action
1911,Adventure
1911,Fantasy
1911,Action
49040,Thriller
49040,Action
415,Fantasy
415,Action
415,Crime
8871,Fantasy
8871,Comedy
8871,Family
435,Science Fiction
435,Adventure
435,Thriller
435,Action
955,Adventure
955,Thriller
955,Action
2133,Drama
1979,Adventure
1979,Thriller
1979,Fantasy
1979,Action
87827,Adventure
87827,Action
87827,Drama
1250,Thriller
1250,Fantasy
1250,Action
1250,Horror
324668,Thriller
324668,Action
9471,Adventure
9471,Action
