user_id,movie_id,rating,rating_date,comment
U00001,25763,4.9,2024-04-08,Me gusto bastante
U00001,146203,4.2,2024-10-02,Buena para recomendar
U00001,271110,6.4,2026-02-26,No era lo que esperaba
U00001,121,6.7,2022-07-18,La volveria a ver
U00001,49047,8.0,2022-07-31,Buen ritmo
U00001,12437,6.1,2024-02-05,Buen ritmo
U00001,9383,6.3,2024-09-22,Excelente recomendacion
U00001,11176,5.6,2023-03-13,Visualmente increible
U00001,81005,4.5,2023-10-11,Visualmente increible
U00001,290864,7.0,2024-08-04,Buena para recomendar
U00001,1572,5.7,2023-11-29,No era lo que esperaba
U00001,2789,7.7,2026-01-27,Buen ritmo
U00001,14033,5.5,2023-09-05,Gran actuacion
U00001,128,7.9,2024-05-05,Gran actuacion
U00001,9541,6.1,2025-11-22,Historia entretenida
U00001,35056,5.8,2025-09-29,Final inesperado
U00001,7350,7.2,2025-12-24,Visualmente increible
U00001,10560,7.8,2023-06-21,Buen ritmo
U00002,12107,5.1,2024-10-02,Buena para recomendar
U00002,289,7.0,2025-12-13,Historia entretenida
U00002,21334,7.3,2025-08-17,Buen ritmo
U00002,2140,7.7,2025-12-04,Gran actuacion
U00002,10179,5.9,2025-02-28,Historia entretenida
U00002,17134,5.6,2023-06-05,No era lo que esperaba
U00002,9360,4.3,2026-04-24,No era lo que esperaba
U00002,116,6.5,2025-09-30,Final inesperado
U00002,2567,7.6,2024-01-10,Me gusto bastante
U00003,303858,6.2,2026-02-20,Me gusto bastante
U00003,184345,4.6,2025-12-04,Buen ritmo
U00003,15797,6.4,2025-08-29,Buena para recomendar
U00003,4108,5.9,2025-09-10,Final inesperado
U00003,64807,4.8,2025-10-12,Me gusto bastante
U00003,302699,4.9,2026-03-20,Buen ritmo
U00003,1954,8.8,2026-03-30,La volveria a ver
U00003,49017,5.1,2025-09-08,No era lo que esperaba
U00003,61984,5.6,2025-10-26,Excelente recomendacion
U00003,2044,5.2,2025-09-05,Final inesperado
U00003,1585,9.3,2026-01-12,Buena para recomendar
U00003,26268,5.7,2025-09-15,Final inesperado
U00004,188927,6.0,2025-07-19,Historia entretenida
U00004,52790,7.9,2023-04-29,Historia entretenida
U00004,44594,6.7,2023-07-25,Buen ritmo
U00004,49521,5.7,2024-10-30,Visualmente increible
U00004,9613,6.1,2025-04-22,Gran actuacion
U00004,84188,6.8,2024-10-22,Gran actuacion
U00004,365222,7.2,2023-04-19,Buen ritmo
U00004,130150,7.9,2025-06-29,Visualmente increible
U00005,115,9.2,2024-05-17,Historia entretenida
U00005,251,6.6,2024-08-22,No era lo que esperaba
U00005,87827,8.1,2025-10-07,Excelente recomendacion
U00005,10154,5.5,2024-10-02,Gran actuacion
U00005,862,6.7,2024-05-25,No era lo que esperaba
U00005,73,7.5,2025-05-13,Me gusto bastante
U00005,14662,7.7,2025-11-30,Buen ritmo
U00005,14438,7.4,2024-05-19,Visualmente increible
U00005,11137,6.0,2025-08-30,Buen ritmo
U00006,10461,4.1,2025-09-25,Buena para recomendar
U00006,28,6.7,2026-05-02,Me gusto bastante
U00006,34069,5.8,2025-12-18,Gran actuacion
U00006,4421,5.5,2025-12-01,Final inesperado
U00006,157,6.6,2026-01-14,Gran actuacion
U00006,38365,5.4,2025-04-29,Final inesperado
U00006,309919,4.9,2025-05-19,No era lo que esperaba
U00006,23631,6.3,2025-04-09,Me gusto bastante
U00006,58595,6.5,2025-08-23,Visualmente increible
U00007,253626,6.0,2024-04-07,Excelente recomendacion
U00007,12138,7.0,2026-03-12,Excelente recomendacion
U00007,58048,1.7,2025-09-09,Gran actuacion
U00007,40862,6.8,2024-02-17,Final inesperado
U00007,9428,8.7,2024-02-17,Visualmente increible
U00007,13920,7.3,2023-04-17,Me gusto bastante
U00007,1245,7.9,2023-11-05,Final inesperado
U00007,205588,6.4,2025-12-24,Excelente recomendacion
U00007,14560,6.2,2025-03-01,Historia entretenida
U00007,10385,4.6,2024-10-28,Buena para recomendar
U00008,433,7.3,2025-02-07,Historia entretenida
U00008,6877,4.2,2024-07-03,Buena para recomendar
U00008,27585,5.7,2023-01-15,Final inesperado
U00008,39851,7.1,2026-03-20,Final inesperado
U00008,44945,5.6,2026-04-02,Final inesperado
U00008,688,6.2,2023-05-25,La volveria a ver
U00008,285,8.1,2024-04-19,Buen ritmo
U00008,28,8.3,2023-02-11,La volveria a ver
U00008,1584,6.6,2024-11-01,La volveria a ver
U00009,4517,7.6,2025-12-18,Historia entretenida
U00009,30497,7.5,2026-01-21,Excelente recomendacion
U00009,664,5.6,2026-04-11,Buen ritmo
U00009,164558,9.1,2025-07-06,Excelente recomendacion
U00009,4380,7.0,2025-08-01,Visualmente increible
U00009,80,7.6,2025-06-27,La volveria a ver
U00009,121676,6.3,2026-04-11,Gran actuacion
U00009,17436,4.7,2025-07-21,Excelente recomendacion
U00010,9459,6.2,2025-02-28,No era lo que esperaba
U00010,8416,6.4,2023-09-26,Excelente recomendacion
U00010,1547,7.8,2025-11-07,La volveria a ver
U00010,13067,5.7,2024-02-02,Buena para recomendar
