user_id,movie_id,view_date,device,progress
U00001,11247,2023-01-08,tv,0.38
U00001,25763,2024-04-08,desktop,0.63
U00001,146203,2024-10-02,mobile,0.77
U00001,271110,2026-02-26,mobile,0.48
U00001,121,2022-07-18,mobile,0.61
U00001,9392,2024-11-23,tablet,0.92
U00001,49047,2022-07-31,desktop,0.79
U00001,12437,2024-02-05,mobile,0.86
U00001,9444,2024-03-29,tablet,0.4
U00001,57800,2025-08-25,mobile,0.44
U00001,9383,2024-09-22,desktop,0.63
U00001,11176,2023-03-13,desktop,0.44
U00001,81005,2023-10-11,desktop,0.91
U00001,290864,2024-08-04,mobile,0.44
U00001,14278,2022-09-25,mobile,0.9
U00001,1572,2023-11-29,desktop,0.7
U00001,2789,2026-01-27,desktop,0.46
U00001,14033,2023-09-05,tablet,0.45
U00001,128,2024-05-05,tablet,0.43
U00001,9541,2025-11-22,mobile,0.64
U00001,250124,2024-11-18,desktop,0.48
U00001,35056,2025-09-29,desktop,0.97
U00001,7350,2025-12-24,desktop,0.94
U00001,10560,2023-06-21,desktop,0.75
U00002,9701,2024-06-22,tablet,0.92
U00002,37834,2025-01-24,tablet,0.63
U00002,12107,2024-10-02,tv,0.49
U00002,289,2025-12-13,desktop,0.93
U00002,21334,2025-08-17,desktop,0.95
U00002,8193,2023-09-26,tv,0.77
U00002,2140,2025-12-04,tablet,0.96
U00002,10179,2025-02-28,tv,0.71
U00002,17134,2023-06-05,desktop,0.61
U00002,9360,2026-04-24,mobile,0.75
U00002,304357,2025-08-30,tv,0.4
U00002,116,2025-09-30,tv,0.78
U00002,2567,2024-01-10,tv,0.66
U00002,239678,2023-05-24,tv,0.53
U00002,13820,2025-12-18,mobile,0.94
U00002,225235,2023-08-23,tablet,0.6
U00002,692,2023-07-09,mobile,0.44
U00002,316002,2025-02-02,tablet,0.86
U00003,303858,2026-02-20,tv,0.54
U00003,184345,2025-12-04,desktop,0.79
U00003,15797,2025-08-29,tv,0.42
U00003,79,2025-08-28,desktop,0.42
U00003,35691,2025-10-29,mobile,0.83
U00003,4108,2025-09-10,desktop,0.48
U00003,10185,2026-04-12,tv,0.78
U00003,64807,2025-10-12,tablet,0.97
U00003,302699,2026-03-20,tablet,0.72
U00003,1954,2026-03-30,desktop,0.63
U00003,8836,2025-09-13,mobile,0.42
U00003,1819,2026-01-16,mobile,0.78
U00003,25793,2025-09-02,desktop,0.9
U00003,12509,2025-08-30,tv,0.45
U00003,874,2026-04-15,mobile,0.43
U00003,49017,2025-09-08,mobile,0.92
U00003,61984,2025-10-26,tablet,0.68
U00003,2044,2025-09-05,desktop,0.49
U00003,1585,2026-01-12,mobile,0.99
U00003,26268,2025-09-15,tv,0.48
U00003,71688,2025-09-15,mobile,0.91
U00003,12177,2025-09-19,desktop,0.48
