user_id_1,user_id_2,since_date,closeness,interactions
U00001,U00120,2025-11-24,0.81,86
U00001,U00468,2026-01-17,0.89,181
U00001,U02124,2025-01-24,0.96,82
U00001,U01893,2023-12-18,0.44,6
U00001,U00511,2026-01-26,0.15,9
U00002,U01125,2024-10-09,0.99,175
U00002,U01254,2024-09-09,0.52,129
U00003,U01821,2025-01-05,0.94,77
U00003,U00352,2024-09-03,0.64,95
U00003,U01006,2026-02-10,0.96,89
U00003,U01178,2024-01-19,0.61,181
U00004,U00964,2024-07-25,0.1,86
U00004,U01993,2024-01-07,0.37,34
U00004,U00032,2024-12-07,0.39,200
U00004,U00746,2026-01-11,0.92,65
U00004,U00797,2025-04-04,0.49,3
U00004,U00057,2025-12-28,0.44,93
U00004,U00411,2024-12-30,0.3,27
U00004,U01165,2025-09-19,0.39,148
U00005,U00465,2023-08-29,0.6,12
U00005,U01758,2024-10-05,0.83,64
U00005,U01152,2024-10-21,0.73,43
U00006,U00959,2025-08-14,0.91,173
U00006,U00016,2025-06-02,0.41,178
U00006,U00063,2024-07-11,0.67,57
U00007,U00617,2024-03-09,0.54,40
U00007,U02026,2025-11-17,0.46,178
U00007,U00954,2025-12-18,0.96,62
U00007,U00211,2025-09-13,0.53,54
U00008,U01808,2024-09-15,0.84,30
U00008,U01961,2025-01-29,0.69,56
U00009,U01384,2026-01-18,0.89,113
U00009,U00264,2025-09-11,0.78,154
U00009,U01486,2023-08-18,0.11,178
U00009,U00572,2026-03-09,0.1,86
U00009,U01354,2025-03-14,0.39,73
U00009,U00494,2025-08-30,0.84,147
U00010,U00426,2024-11-12,0.36,107
U00010,U02125,2023-09-20,0.35,180
U00010,U02108,2026-02-11,0.72,105
U00010,U01632,2024-08-19,0.5,161
U00011,U00727,2024-11-30,0.46,58
U00011,U01264,2023-10-21,0.24,87
U00011,U01445,2023-06-22,0.89,110
U00011,U01891,2025-09-18,0.14,198
U00011,U01507,2023-09-23,0.22,146
U00012,U00518,2026-03-26,0.98,65
U00012,U00809,2023-09-27,0.59,138
U00012,U01165,2025-04-07,0.14,179
U00012,U01983,2024-05-05,0.11,65
U00012,U02176,2025-11-09,0.33,167
U00012,U00517,2023-12-30,0.17,158
U00013,U00771,2025-11-29,0.43,42
U00013,U02125,2024-09-22,0.67,5
U00013,U01184,2025-11-23,0.83,58
U00013,U00821,2025-12-15,0.89,108
U00013,U01984,2025-12-26,0.2,182
U00014,U01363,2023-11-20,0.56,103
U00014,U01767,2025-03-11,0.41,180
U00015,U01936,2024-12-31,0.79,37
U00015,U01725,2023-10-25,0.1,152
U00015,U01215,2023-11-13,0.69,196
U00015,U01460,2023-12-01,0.67,59
U00015,U01646,2025-08-03,0.52,74
U00015,U01644,2024-01-02,0.32,22
U00015,U02141,2024-11-14,0.14,146
U00016,U00986,2023-07-13,0.22,194
U00016,U00308,2024-09-15,0.72,35
U00016,U01274,2025-09-05,0.89,136
U00017,U01404,2024-05-01,0.58,76
U00017,U00031,2024-12-03,0.84,61
U00017,U00513,2024-06-10,0.51,178
U00018,U02090,2025-07-06,0.8,45
U00018,U01428,2023-11-30,0.63,146
U00018,U00382,2026-04-06,0.77,182
U00018,U01630,2023-11-13,0.93,29
U00018,U01106,2023-07-15,0.12,150
U00018,U00277,2025-08-18,0.94,109
U00018,U01110,2025-08-13,0.3,81
U00019,U01467,2025-04-26,0.93,141
U00019,U01963,2025-08-05,0.42,185
U00019,U01589,2026-02-04,0.94,54
U00019,U00294,2025-09-01,0.93,155
U00019,U00063,2024-03-29,0.48,141
U00019,U01635,2026-03-10,0.69,47
U00019,U00790,2024-07-15,0.25,126
U00020,U01575,2023-05-10,0.41,21
U00020,U00352,2024-10-13,0.85,53
U00020,U00782,2025-10-16,0.92,64
U00020,U01388,2025-08-14,0.72,99
U00020,U01844,2024-12-19,0.95,113
U00020,U00831,2024-04-24,0.1,171
U00020,U01290,2024-05-03,0.74,101
U00021,U02044,2025-04-23,0.23,179
U00021,U01823,2023-06-20,0.28,162
U00021,U01762,2024-07-29,0.36,116
U00021,U01393,2024-03-28,0.51,40
U00022,U01162,2025-01-18,0.49,1
U00022,U01700,2026-02-03,0.88,8
U00022,U00251,2023-05-09,0.74,199
U00022,U01122,2023-05-03,0.86,1
U00022,U01342,2023-05-09,0.79,8
U00022,U00976,2024-12-10,0.62,55
U00022,U01801,2026-01-22,0.59,156
U00022,U01564,2024-07-25,0.39,111
U00023,U00876,2023-11-30,0.11,76
U00023,U00782,2025-12-24,0.25,125
U00023,U00320,2024-02-21,0.83,121
U00024,U00835,2023-10-09,0.79,194
U00024,U01055,2025-07-28,0.5,34
U00024,U01987,2025-05-17,0.24,100
U00024,U01072,2025-10-21,0.33,98
U00024,U00433,2023-06-07,0.99,167
U00024,U01058,2025-05-05,0.22,18
U00025,U00418,2025-09-26,0.59,199
U00025,U00085,2023-09-20,0.86,66
U00025,U01743,2026-02-02,0.61,79
U00025,U00172,2024-06-08,0.55,45
U00025,U01411,2025-01-28,0.37,162
U00025,U01164,2024-09-18,0.93,73
U00026,U02174,2023-09-03,0.23,83
U00026,U01781,2024-04-20,0.78,5
U00026,U01246,2023-05-12,0.48,2
U00027,U02123,2025-06-13,0.37,71
U00027,U01815,2024-01-05,0.95,65
U00027,U00918,2024-09-27,0.65,115
U00027,U01274,2025-07-19,0.95,77
U00027,U00850,2023-09-20,0.6,155
U00004,U00027,2023-12-24,0.2,121
U00027,U00834,2024-10-26,0.8,2
U00027,U01190,2023-11-20,0.75,56
U00028,U00477,2024-05-13,0.92,33
U00028,U01684,2025-03-30,0.95,172
U00028,U01819,2024-07-12,0.52,27
U00028,U01621,2024-06-15,0.96,94
U00029,U01446,2025-06-25,0.1,195
U00029,U00559,2025-03-08,0.92,65
U00029,U00974,2023-09-11,0.27,52
U00029,U01715,2024-10-04,0.69,170
U00029,U01076,2024-05-23,0.46,182
U00029,U01962,2024-08-16,0.59,29
U00030,U01643,2025-08-09,0.34,63
U00030,U02178,2026-04-17,0.25,124
U00030,U00071,2024-01-09,0.51,33
U00031,U01420,2024-10-09,0.82,76
U00031,U01222,2024-03-10,0.41,103
U00031,U01158,2026-02-23,0.21,45
U00031,U00710,2025-02-21,0.17,81
U00031,U01949,2025-05-16,0.33,25
U00031,U00196,2025-05-30,0.6,149
U00031,U01926,2023-07-07,0.63,12
U00032,U00338,2026-04-23,0.99,174
U00032,U01534,2023-08-03,0.25,17
U00032,U00821,2026-04-09,0.9,140
U00032,U00095,2023-11-08,0.76,192
U00032,U00554,2024-12-02,0.81,136
U00033,U00212,2023-10-02,0.6,52
U00033,U00745,2023-10-27,0.59,54
U00033,U01575,2024-10-03,0.57,162
U00033,U00247,2023-07-24,0.66,196
U00033,U01561,2023-07-16,0.83,104
U00033,U01272,2025-04-22,0.97,22
U00034,U00199,2025-08-04,0.36,46
U00034,U01039,2024-12-17,0.34,37
U00035,U00360,2024-04-04,0.34,90
U00035,U01604,2024-01-07,0.18,74
U00035,U00361,2024-03-08,0.84,168
U00035,U02046,2026-04-22,0.74,7
U00035,U00608,2025-01-01,0.2,178
U00035,U02009,2025-08-11,0.61,127
U00035,U00450,2024-10-09,0.23,113
U00035,U01238,2023-07-13,0.7,104
U00036,U01518,2023-09-25,0.27,62
U00036,U01446,2026-03-11,0.77,85
U00036,U01904,2024-07-31,0.82,26
U00036,U01020,2025-07-16,0.93,98
U00037,U01262,2025-10-08,0.84,55
U00037,U00779,2023-09-25,0.63,129
U00037,U00368,2024-09-01,0.69,88
U00037,U01858,2025-12-09,0.95,119
U00037,U01224,2024-06-26,0.21,151
U00037,U00297,2025-01-02,0.74,22
U00037,U01053,2026-04-08,0.5,131
U00037,U02013,2025-03-23,0.49,42
U00038,U00605,2024-02-05,0.19,162
U00038,U01331,2025-07-28,0.42,138
U00038,U00896,2025-09-15,0.43,146
U00038,U01048,2024-03-25,0.75,88
U00039,U02190,2024-10-09,0.52,20
U00039,U01530,2024-12-28,0.72,58
U00039,U02171,2023-07-01,0.64,111
U00039,U01334,2024-09-19,0.12,14
U00039,U02071,2025-08-29,0.6,196
U00039,U02181,2025-08-31,0.13,194
U00039,U02033,2025-06-28,0.55,18
U00040,U00744,2025-06-22,0.22,189
U00040,U00504,2024-09-30,0.2,165
U00040,U01617,2025-01-06,0.22,76
U00040,U01840,2025-04-10,0.59,3
U00040,U00769,2024-03-29,0.89,184
U00040,U01864,2025-06-07,0.25,5
U00040,U00118,2023-09-18,0.2,43
U00040,U00408,2024-10-20,0.2,190
U00041,U01610,2024-11-22,0.31,122
U00041,U01295,2025-07-10,0.34,87
U00041,U01677,2024-10-31,0.21,137
U00041,U01217,2023-05-16,0.58,19
U00042,U00567,2023-10-07,0.47,161
U00042,U01653,2024-01-07,0.28,163
U00042,U01473,2023-10-29,0.72,78
U00042,U01768,2023-07-24,0.11,2
U00042,U00812,2023-10-19,0.61,29
U00042,U02122,2025-11-10,0.65,180
U00043,U00932,2024-06-27,0.29,185
U00043,U00821,2025-01-19,0.67,119
U00043,U01138,2025-12-28,0.53,197
U00043,U01264,2024-12-03,0.75,70
U00043,U01760,2026-03-23,0.52,36
U00043,U02107,2024-12-04,0.85,170
U00043,U01465,2025-01-11,0.69,32
U00044,U02023,2025-09-13,0.6,99
U00044,U00661,2023-06-27,0.52,179
U00044,U01932,2024-10-24,0.9,96
U00044,U01180,2025-08-03,0.58,73
U00044,U01829,2026-02-20,0.26,116
U00044,U00837,2024-07-27,0.17,55
U00044,U00320,2025-12-09,0.1,188
U00045,U01213,2024-10-29,1.0,100
U00045,U01629,2025-09-23,0.99,174
