user_id,genre,weight,last_updated,source
U00001,Fantasy,0.0547,2025-12-14,onboarding
U00001,Family,0.1927,2022-07-01,behavior
U00001,War,0.4053,2025-06-28,onboarding
U00001,Animation,0.3474,2025-06-28,behavior
U00002,Family,0.8191,2025-01-24,hybrid
U00002,War,0.1809,2024-11-16,onboarding
U00003,Action,0.531,2025-09-14,hybrid
U00003,Documentary,0.0501,2025-11-12,hybrid
U00003,Romance,0.4189,2026-03-20,behavior
U00004,Music,0.2822,2025-10-22,behavior
U00004,Fantasy,0.2942,2024-06-29,behavior
U00004,Adventure,0.4237,2023-08-01,behavior
U00005,Drama,0.2792,2025-06-08,behavior
U00005,Animation,0.2388,2024-05-16,behavior
U00005,Adventure,0.0817,2025-05-16,onboarding
U00005,Horror,0.4004,2025-08-20,onboarding
U00006,Music,0.012,2025-02-20,hybrid
U00006,Documentary,0.4808,2025-03-23,onboarding
U00006,Western,0.2245,2025-06-09,hybrid
U00006,War,0.2827,2026-01-23,behavior
U00007,Mystery,0.1954,2023-12-31,hybrid
U00007,Fantasy,0.6234,2025-01-31,hybrid
U00007,Family,0.1811,2024-10-27,behavior
U00008,Horror,0.4305,2025-02-12,hybrid
U00008,Drama,0.5695,2024-04-04,onboarding
U00009,Fantasy,0.1244,2025-09-23,behavior
U00009,Romance,0.3253,2025-07-05,onboarding
U00009,Mystery,0.2226,2026-02-07,onboarding
U00009,Documentary,0.3277,2025-10-24,behavior
U00010,Documentary,0.5701,2024-05-26,behavior
U00010,Romance,0.4299,2023-04-01,hybrid
U00011,Comedy,0.2182,2026-02-06,behavior
U00011,Fantasy,0.2123,2026-03-06,hybrid
U00011,Horror,0.2661,2026-02-10,onboarding
U00011,Adventure,0.3034,2026-03-10,onboarding
U00012,History,0.6368,2025-11-26,hybrid
U00012,War,0.3632,2025-06-06,behavior
U00013,Comedy,0.4759,2026-02-10,hybrid
U00013,Music,0.5241,2025-08-11,onboarding
U00014,Crime,0.5877,2024-05-13,hybrid
U00014,Western,0.0186,2024-10-10,onboarding
U00014,Thriller,0.3494,2024-06-14,onboarding
U00014,Fantasy,0.0443,2025-12-18,onboarding
U00015,History,0.7312,2026-03-22,onboarding
U00015,Mystery,0.2688,2026-03-15,hybrid
U00016,Western,0.7639,2025-05-28,onboarding
U00016,Family,0.2361,2025-04-03,behavior
U00017,War,0.1469,2025-04-30,hybrid
U00017,Family,0.8531,2025-08-18,hybrid
U00018,Comedy,0.52,2025-05-25,behavior
U00018,Western,0.48,2024-08-14,hybrid
U00019,Horror,0.5088,2025-08-30,onboarding
U00019,Comedy,0.2302,2024-12-11,behavior
U00019,Family,0.261,2023-09-26,onboarding
U00020,Family,0.381,2024-12-05,behavior
U00020,Animation,0.376,2026-02-07,onboarding
U00020,Science Fiction,0.243,2025-02-06,onboarding
U00021,Thriller,0.7704,2024-07-10,hybrid
U00021,Western,0.2255,2026-04-10,onboarding
U00021,Drama,0.0041,2025-03-26,onboarding
U00022,Western,0.3866,2024-07-14,behavior
U00022,Thriller,0.2922,2025-02-14,hybrid
U00022,Crime,0.3212,2025-10-16,onboarding
U00023,Thriller,0.5498,2025-12-04,onboarding
U00023,War,0.4502,2026-03-16,onboarding
U00024,Mystery,0.7375,2026-03-19,behavior
U00024,Comedy,0.2625,2026-01-30,hybrid
U00025,Horror,0.3725,2026-01-21,behavior
U00025,Fantasy,0.3473,2025-12-07,hybrid
U00025,Drama,0.0034,2025-07-27,onboarding
U00025,Western,0.2768,2026-03-01,behavior
U00026,Science Fiction,0.297,2024-02-09,hybrid
U00026,Comedy,0.703,2022-11-21,hybrid
U00027,Music,0.3118,2025-07-17,onboarding
U00027,History,0.6882,2026-03-09,behavior
U00028,Comedy,0.3339,2024-10-30,hybrid
U00028,Crime,0.1456,2024-01-26,hybrid
U00028,Fantasy,0.3538,2025-09-03,hybrid
U00028,Adventure,0.1667,2025-08-25,behavior
U00029,Fantasy,0.1589,2025-10-13,behavior
U00029,War,0.2431,2024-10-16,behavior
U00029,Thriller,0.4436,2024-06-04,onboarding
U00029,Crime,0.1544,2024-02-22,behavior
U00030,Fantasy,0.3054,2024-12-11,onboarding
U00030,Documentary,0.6946,2025-01-11,behavior
U00031,Western,0.1901,2026-03-14,onboarding
U00031,Adventure,0.8099,2026-03-24,behavior
U00032,Family,0.4991,2025-05-07,behavior
U00032,Comedy,0.5009,2025-06-21,hybrid
U00033,Action,0.341,2025-07-24,hybrid
U00033,Documentary,0.4163,2026-01-16,hybrid
U00033,Horror,0.2427,2023-05-15,hybrid
U00034,Drama,0.2795,2024-12-24,onboarding
U00034,Science Fiction,0.7205,2026-01-14,hybrid
U00035,Fantasy,0.5262,2025-12-11,behavior
U00035,Animation,0.207,2025-04-26,hybrid
U00035,Western,0.2667,2025-08-13,onboarding
U00036,Fantasy,0.2967,2024-12-12,onboarding
U00036,Adventure,0.161,2025-03-19,onboarding
U00036,Comedy,0.3129,2025-04-17,hybrid
U00036,History,0.2294,2025-11-15,behavior
U00037,Adventure,0.1914,2023-07-07,hybrid
U00037,Romance,0.1478,2023-07-24,onboarding
U00037,Action,0.6608,2025-10-18,hybrid
U00038,History,0.304,2025-12-30,hybrid
U00038,Romance,0.3296,2025-02-12,behavior
U00038,Horror,0.112,2026-02-11,onboarding
U00038,Drama,0.2544,2025-11-27,behavior
U00039,History,0.3715,2025-12-04,onboarding
U00039,Mystery,0.096,2025-10-20,hybrid
U00039,Action,0.3643,2025-10-16,hybrid
U00039,Crime,0.1682,2026-02-05,hybrid
U00040,Drama,0.3178,2025-08-03,onboarding
U00040,War,0.3995,2025-09-11,hybrid
U00040,Thriller,0.2739,2025-01-27,hybrid
U00040,Mystery,0.0087,2026-01-06,hybrid
U00041,Family,0.3547,2026-02-14,behavior
U00041,Drama,0.2934,2026-04-04,behavior
U00041,Crime,0.3518,2026-01-29,behavior
U00042,Drama,0.1699,2026-01-18,behavior
U00042,Mystery,0.3816,2026-01-16,behavior
U00042,Thriller,0.1568,2025-11-28,hybrid
U00042,Western,0.2917,2026-03-14,behavior
U00043,War,0.3556,2025-01-10,behavior
U00043,Science Fiction,0.6444,2023-07-31,hybrid
U00044,Western,0.187,2026-03-17,onboarding
U00044,Horror,0.226,2026-02-01,onboarding
U00044,Science Fiction,0.4266,2026-03-21,behavior
U00044,History,0.1604,2026-03-12,behavior
U00045,Fantasy,0.121,2025-05-06,onboarding
U00045,War,0.0731,2024-11-01,hybrid
U00045,Thriller,0.1192,2024-08-26,behavior
U00045,Horror,0.6867,2024-04-19,behavior
U00046,Western,0.2751,2025-10-20,onboarding
U00046,Animation,0.208,2024-12-06,behavior
U00046,Crime,0.5169,2024-10-01,hybrid
U00047,Western,0.4467,2025-06-16,onboarding
U00047,Science Fiction,0.4479,2025-12-27,onboarding
U00047,Romance,0.1054,2025-12-02,hybrid
U00048,Action,0.3808,2025-10-28,onboarding
U00048,Music,0.3846,2026-01-26,onboarding
U00048,History,0.2346,2024-09-17,onboarding
U00049,Thriller,0.3649,2023-11-06,hybrid
U00049,Action,0.1166,2023-11-23,onboarding
U00049,Mystery,0.5185,2024-10-12,hybrid
U00050,Action,0.394,2025-08-07,hybrid
U00050,Animation,0.0587,2024-09-27,behavior
U00050,Romance,0.5473,2023-12-12,behavior
U00051,Horror,0.4498,2024-04-05,behavior
U00051,Western,0.2009,2026-03-09,behavior
U00051,Mystery,0.3493,2024-08-23,behavior
U00052,Family,0.1725,2023-09-12,onboarding
U00052,Animation,0.4997,2025-01-20,hybrid
U00052,Adventure,0.3279,2023-02-22,onboarding
U00053,Comedy,0.2693,2025-10-22,hybrid
U00053,Drama,0.007,2025-05-21,behavior
U00053,Science Fiction,0.4242,2025-08-10,onboarding
U00053,Music,0.2994,2026-02-11,onboarding
U00054,Action,0.1009,2025-02-18,behavior
U00054,History,0.8991,2024-05-11,behavior
U00055,Comedy,0.1923,2026-03-09,onboarding
U00055,Adventure,0.453,2026-03-04,behavior
U00055,Music,0.0058,2026-03-23,behavior
U00055,Fantasy,0.3489,2026-04-06,behavior
U00056,Romance,0.148,2025-05-28,onboarding
U00056,Music,0.852,2025-08-29,behavior
U00057,Romance,0.4636,2025-08-10,behavior
U00057,Fantasy,0.3461,2025-09-24,hybrid
U00057,Horror,0.1904,2025-01-04,onboarding
U00058,Mystery,0.411,2026-03-24,hybrid
U00058,Horror,0.1058,2025-12-18,onboarding
U00058,Action,0.25,2026-03-10,behavior
U00058,Family,0.2332,2026-04-04,hybrid
U00059,Fantasy,0.2717,2026-04-08,hybrid
U00059,Action,0.0837,2026-03-06,behavior
U00059,Drama,0.2855,2025-11-01,onboarding
U00059,Adventure,0.3591,2025-09-22,behavior
U00060,Thriller,0.2559,2025-11-27,onboarding
U00060,Science Fiction,0.3174,2026-01-09,onboarding
U00060,Action,0.055,2025-12-08,hybrid
U00060,Adventure,0.3717,2026-03-16,behavior
U00061,Western,0.5369,2024-12-13,behavior
U00061,War,0.2253,2025-11-19,behavior
U00061,Music,0.2379,2025-01-16,behavior
U00062,Drama,0.5489,2025-07-16,hybrid
U00062,Horror,0.4511,2025-04-19,onboarding
U00063,History,0.3045,2025-12-09,behavior
U00063,Comedy,0.106,2025-12-25,onboarding
U00063,Drama,0.2954,2026-03-22,hybrid
U00063,Crime,0.2941,2025-05-31,onboarding
U00064,Adventure,0.3871,2024-05-23,behavior
U00064,Western,0.3858,2024-05-19,hybrid
U00064,History,0.2271,2023-02-19,onboarding
U00065,Documentary,0.3831,2025-03-08,hybrid
U00065,Adventure,0.2259,2026-03-28,behavior
U00065,Fantasy,0.391,2026-01-01,onboarding
U00066,Adventure,0.165,2026-03-18,behavior
U00066,Crime,0.2426,2026-02-15,hybrid
U00066,War,0.3174,2025-10-30,behavior
U00066,Mystery,0.2749,2025-11-16,onboarding
U00067,War,0.2354,2025-12-24,hybrid
U00067,Mystery,0.7646,2025-12-24,hybrid
